Sector,Model,Region,Year,oneWorld,twoWorld,cpolWorld,oneAsia,twoAsia,cpolAsia,oneMea,twoMea,cpolMea,oneLam,twoLam,cpolLam,oneCasia,twoCasia,cpolCasia,oneOecd,twoOecd,cpolOecd
Industrial processes,REMIND-MAgPIE 1.7-3.0,Central Asia,2100,-9.2130319111,-5.5043294394,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,OECD90 + EU,2020,-0.0003235953,-0.0004182968,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,OECD90 + EU,2030,-90.2958605941,-58.3929910141,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,OECD90 + EU,2040,-110.7194051822,-76.3383937647,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,OECD90 + EU,2050,-126.84333258,-98.141995616,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,OECD90 + EU,2060,-172.8114220361,-125.6003678203,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,OECD90 + EU,2070,-218.800024268,-139.8725317788,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,OECD90 + EU,2080,-267.4005561976,-171.3477158342,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,OECD90 + EU,2090,-302.5310978849,-194.3477931617,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,OECD90 + EU,2100,-308.0525279576,-220.0361953003,0,,,,,,,,,,,,,,,
