Model,Scenario,Region,Sector,Unit,Year,Value,Value baseline,Value_diff,Direct Emissions Costs,Direct baseline,Direct Emission Costs diff,Indirect Emission Costs,Ind baseline,Indirect Emissions Costs diff
REMIND-MAgPIE 1.7-3.0,Current Policies,Central Asia,Transportation,EJ/yr,2100,3.8247,3.8247,0,1656639686.35,1656639686.35,0,117236214930,117236214930,0
REMIND-MAgPIE 1.7-3.0,Current Policies,OECD90 + EU,Industry,EJ/yr,2020,51.0982,51.0982,0,2761404663.52537,2761404663.52537,0,2726196056550,2726196056550,0
REMIND-MAgPIE 1.7-3.0,Current Policies,OECD90 + EU,Industry,EJ/yr,2030,52.976,52.976,0,3207064254.80015,3207064254.80015,0,3244758453240,3244758453240,0
REMIND-MAgPIE 1.7-3.0,Current Policies,OECD90 + EU,Industry,EJ/yr,2040,57.1128,57.1128,0,3840047797.8946,3840047797.8946,0,3659752814150,3659752814150,0
REMIND-MAgPIE 1.7-3.0,Current Policies,OECD90 + EU,Industry,EJ/yr,2050,60.0653,60.0653,0,4551574112.40683,4551574112.40683,0,4124591699700,4124591699700,0
REMIND-MAgPIE 1.7-3.0,Current Policies,OECD90 + EU,Industry,EJ/yr,2060,62.6623,62.6623,0,5371929142.12515,5371929142.12515,0,4530681427530,4530681427530,0
REMIND-MAgPIE 1.7-3.0,Current Policies,OECD90 + EU,Industry,EJ/yr,2070,64.9908,64.9908,0,6265774392.31912,6265774392.31912,0,5013388376800,5013388376800,0
REMIND-MAgPIE 1.7-3.0,Current Policies,OECD90 + EU,Industry,EJ/yr,2080,67.5081,67.5081,0,7226725250.59082,7226725250.59082,0,5451111865650,5451111865650,0
REMIND-MAgPIE 1.7-3.0,Current Policies,OECD90 + EU,Industry,EJ/yr,2090,68.2688,68.2688,0,8242821140.02242,8242821140.02242,0,5129879216050,5129879216050,0
REMIND-MAgPIE 1.7-3.0,Current Policies,OECD90 + EU,Industry,EJ/yr,2100,69.2451,69.2451,0,9302539248.96784,9302539248.96784,0,5481062553280,5481062553280,0
REMIND-MAgPIE 1.7-3.0,Current Policies,OECD90 + EU,ResidentialCommercial,EJ/yr,2020,56.2711,56.2711,0,5332359066.56644,5332359066.56644,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,OECD90 + EU,ResidentialCommercial,EJ/yr,2030,60.1816,60.1816,0,5806962626.95314,5806962626.95314,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,OECD90 + EU,ResidentialCommercial,EJ/yr,2040,65.0712,65.0712,0,6996246075.68428,6996246075.68428,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,OECD90 + EU,ResidentialCommercial,EJ/yr,2050,68.8954,68.8954,0,8031683577.87074,8031683577.87074,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,OECD90 + EU,ResidentialCommercial,EJ/yr,2060,72.5139,72.5139,0,9428488318.68731,9428488318.68731,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,OECD90 + EU,ResidentialCommercial,EJ/yr,2070,75.5971,75.5971,0,10967874109.0722,10967874109.0722,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,OECD90 + EU,ResidentialCommercial,EJ/yr,2080,78.8127,78.8127,0,12887451248.2111,12887451248.2111,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,OECD90 + EU,ResidentialCommercial,EJ/yr,2090,79.7784,79.7784,0,14189315149.4981,14189315149.4981,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,OECD90 + EU,ResidentialCommercial,EJ/yr,2100,80.5532,80.5532,0,15791157969.9,15791157969.9,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,OECD90 + EU,Transportation,EJ/yr,2020,52.5555,52.5555,0,11274092075.1942,11274092075.1942,0,3280066236340,3280066236340,0
REMIND-MAgPIE 1.7-3.0,Current Policies,OECD90 + EU,Transportation,EJ/yr,2030,53.8827,53.8827,0,12722997807.4955,12722997807.4955,0,3950536116270,3950536116270,0
