Model,Scenario,Region,Unit,Year,Value,Enduse,EnergySource
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2020,52.857,Industry,LiquidsIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2020,37.3375,Industry,SolidsIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Asia (No Japan),EJ/yr,2020,0.5864,Transportation,ElectricityTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,Asia (No Japan),EJ/yr,2020,0,Transportation,GasesTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,Asia (No Japan),EJ/yr,2020,0,Transportation,HydrogenTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,Asia (No Japan),EJ/yr,2020,33.5058,Transportation,LiquidsTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,Asia (No Japan),EJ/yr,2020,15.9577,Residential and Commercial,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,Asia (No Japan),EJ/yr,2020,6.553,Residential and Commercial,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,Asia (No Japan),EJ/yr,2020,1.9045,Residential and Commercial,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,Asia (No Japan),EJ/yr,2020,0.0001,Residential and Commercial,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,Asia (No Japan),EJ/yr,2020,5.9283,Residential and Commercial,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,Asia (No Japan),EJ/yr,2020,12.9657,Residential and Commercial,Solids
REMIND-MAgPIE 1.7-3.0,NPi_v3,Asia (No Japan),EJ/yr,2020,21.3198,Industry,ElectricityIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Asia (No Japan),EJ/yr,2020,15.0754,Industry,GasesIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Asia (No Japan),EJ/yr,2020,3.5797,Industry,HeatIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Asia (No Japan),EJ/yr,2020,0.1665,Industry,HydrogenIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Asia (No Japan),EJ/yr,2020,21.4161,Industry,LiquidsIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Asia (No Japan),EJ/yr,2020,25.1423,Industry,SolidsIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Middle East + Africa,EJ/yr,2020,0.144,Transportation,ElectricityTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,Middle East + Africa,EJ/yr,2020,0.0009,Transportation,GasesTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,Middle East + Africa,EJ/yr,2020,0,Transportation,HydrogenTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,Middle East + Africa,EJ/yr,2020,16.5253,Transportation,LiquidsTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,Middle East + Africa,EJ/yr,2020,5.0019,Residential and Commercial,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,Middle East + Africa,EJ/yr,2020,3.8427,Residential and Commercial,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,Middle East + Africa,EJ/yr,2020,0.2257,Residential and Commercial,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,Middle East + Africa,EJ/yr,2020,0,Residential and Commercial,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,Middle East + Africa,EJ/yr,2020,2.4589,Residential and Commercial,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,Middle East + Africa,EJ/yr,2020,13.6667,Residential and Commercial,Solids
REMIND-MAgPIE 1.7-3.0,NPi_v3,Middle East + Africa,EJ/yr,2020,2.6268,Industry,ElectricityIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Middle East + Africa,EJ/yr,2020,6.6324,Industry,GasesIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Middle East + Africa,EJ/yr,2020,0.2575,Industry,HeatIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Middle East + Africa,EJ/yr,2020,0.0525,Industry,HydrogenIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Middle East + Africa,EJ/yr,2020,8.1323,Industry,LiquidsIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Middle East + Africa,EJ/yr,2020,2.8265,Industry,SolidsIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Latin America,EJ/yr,2020,0.0251,Transportation,ElectricityTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,Latin America,EJ/yr,2020,0,Transportation,GasesTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,Latin America,EJ/yr,2020,0,Transportation,HydrogenTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,Latin America,EJ/yr,2020,12.1644,Transportation,LiquidsTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,Latin America,EJ/yr,2020,3.1155,Residential and Commercial,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,Latin America,EJ/yr,2020,0.9713,Residential and Commercial,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,Latin America,EJ/yr,2020,0.0225,Residential and Commercial,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,Latin America,EJ/yr,2020,0,Residential and Commercial,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,Latin America,EJ/yr,2020,1.2907,Residential and Commercial,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,Latin America,EJ/yr,2020,1.3347,Residential and Commercial,Solids
REMIND-MAgPIE 1.7-3.0,NPi_v3,Latin America,EJ/yr,2020,2.7142,Industry,ElectricityIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Latin America,EJ/yr,2020,4.0313,Industry,GasesIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Latin America,EJ/yr,2020,0.0015,Industry,HeatIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Latin America,EJ/yr,2020,0.0267,Industry,HydrogenIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Latin America,EJ/yr,2020,4.5443,Industry,LiquidsIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Latin America,EJ/yr,2020,3.0772,Industry,SolidsIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Central Asia,EJ/yr,2020,0.2705,Transportation,ElectricityTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,Central Asia,EJ/yr,2020,0,Transportation,GasesTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,Central Asia,EJ/yr,2020,0,Transportation,HydrogenTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,Central Asia,EJ/yr,2020,3.1438,Transportation,LiquidsTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,Central Asia,EJ/yr,2020,1.8033,Residential and Commercial,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,Central Asia,EJ/yr,2020,2.0531,Residential and Commercial,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,Central Asia,EJ/yr,2020,2.6461,Residential and Commercial,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,Central Asia,EJ/yr,2020,0,Residential and Commercial,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,Central Asia,EJ/yr,2020,0.312,Residential and Commercial,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,Central Asia,EJ/yr,2020,0.1986,Residential and Commercial,Solids
REMIND-MAgPIE 1.7-3.0,NPi_v3,Central Asia,EJ/yr,2020,1.3901,Industry,ElectricityIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Central Asia,EJ/yr,2020,3.1201,Industry,GasesIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Central Asia,EJ/yr,2020,2.1437,Industry,HeatIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Central Asia,EJ/yr,2020,0.0175,Industry,HydrogenIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Central Asia,EJ/yr,2020,2.0972,Industry,LiquidsIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Central Asia,EJ/yr,2020,0.2229,Industry,SolidsIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,OECD90 + EU,EJ/yr,2020,0.6366,Transportation,ElectricityTrans
